Site,Plot,Year,ALDE,BRAR5,BRBR5,BRTE,BUAR3,CHJU,ERCI6,HOUM,LASE,POBU,SECE,SIAL2,TACA8,TRDU,VEDU,VUMY
4,1,2022,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,1,2023,0,0,0,0.142857143,0,0.857142857,0,0,0,0,0,0,0,0,0,0
4,1,2024,0,0,0,0.28,0,0.44,0.28,0,0,0,0,0,0,0,0,0
4,2,2021,0,0,0,0.452830189,0,0,0.433962264,0,0,0.113207547,0,0,0,0,0,0
4,2,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,2023,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,2,2024,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,3,2021,0,0,0,0.730769231,0,0.038461538,0.134615385,0,0,0.096153846,0,0,0,0,0,0
4,3,2022,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,3,2023,0,0,0,0,0,0.428571429,0,0,0,0.571428571,0,0,0,0,0,0
4,3,2024,0,0,0,0.466666667,0,0.2,0.133333333,0,0,0.2,0,0,0,0,0,0
4,4,2021,0,0,0,0.436619718,0,0.098591549,0.338028169,0,0,0.126760563,0,0,0,0,0,0
4,4,2022,0,0,0,0.472972973,0,0.027027027,0.283783784,0,0,0.202702703,0,0,0,0,0,0.013513514
4,4,2023,0,0,0,0.395348837,0,0.23255814,0.23255814,0,0,0.11627907,0.023255814,0,0,0,0,0
4,4,2024,0,0,0,0.524590164,0,0.163934426,0.098360656,0,0,0.180327869,0,0,0,0,0,0.032786885
4,5,2021,0,0,0,0.875,0,0,0.09375,0,0,0.03125,0,0,0,0,0,0
4,5,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5,2023,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,5,2024,0,0,0,0,0,0.428571429,0.428571429,0,0,0.142857143,0,0,0,0,0,0
4,6,2021,0,0,0,0.454545455,0,0.5,0.045454545,0,0,0,0,0,0,0,0,0
4,6,2022,0,0,0,0.75,0,0,0,0,0,0.25,0,0,0,0,0,0
4,6,2023,0,0,0,0,0,0.846153846,0.076923077,0,0,0.076923077,0,0,0,0,0,0
4,6,2024,0,0,0,0.166666667,0,0.619047619,0.214285714,0,0,0,0,0,0,0,0,0
4,7,2021,0,0,0,0.484375,0,0.40625,0.046875,0,0,0.0625,0,0,0,0,0,0
4,7,2022,0,0,0,0.666666667,0,0,0,0,0,0.333333333,0,0,0,0,0,0
4,7,2023,0,0,0,0.038461538,0,0.788461538,0.076923077,0,0,0.096153846,0,0,0,0,0,0
4,7,2024,0,0,0,0.05,0,0.95,0,0,0,0,0,0,0,0,0,0
4,8,2021,0,0,0,0.551724138,0,0.448275862,0,0,0,0,0,0,0,0,0,0
4,8,2022,0,0,0,0.586206897,0,0.264367816,0.137931034,0,0,0.011494253,0,0,0,0,0,0
4,8,2023,0,0,0,0.648648649,0,0.283783784,0.027027027,0,0.013513514,0.027027027,0,0,0,0,0,0
4,8,2024,0,0,0,0.71875,0,0.25,0,0,0,0.03125,0,0,0,0,0,0
4,9,2021,0,0,0,0.685185185,0,0.277777778,0.018518519,0,0.018518519,0,0,0,0,0,0,0
4,9,2022,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,9,2023,0,0,0,0.282051282,0,0.487179487,0.179487179,0,0,0.051282051,0,0,0,0,0,0
4,9,2024,0,0,0,0.272727273,0,0.318181818,0.363636364,0,0,0.045454545,0,0,0,0,0,0
4,10,2021,0,0,0,0.795918367,0,0.081632653,0.102040816,0,0.020408163,0,0,0,0,0,0,0
4,10,2022,0,0,0,0.666666667,0,0,0,0,0,0,0.333333333,0,0,0,0,0
4,10,2023,0,0,0,0.133333333,0,0.8,0.066666667,0,0,0,0,0,0,0,0,0
4,10,2024,0,0,0,0.36,0,0.32,0.16,0,0,0,0.16,0,0,0,0,0
4,11,2021,0,0,0,0.53125,0,0.21875,0.21875,0,0,0,0.03125,0,0,0,0,0
4,11,2022,0,0,0,0.6,0,0.4,0,0,0,0,0,0,0,0,0,0
4,11,2023,0,0,0,0.033333333,0,0.933333333,0.033333333,0,0,0,0,0,0,0,0,0
4,11,2024,0,0,0,0.257142857,0,0.4,0.342857143,0,0,0,0,0,0,0,0,0
4,12,2021,0,0,0,0.472727273,0,0.490909091,0,0,0,0,0.036363636,0,0,0,0,0
4,12,2022,0,0,0,0.5875,0,0.1875,0.2125,0,0,0.0125,0,0,0,0,0,0
4,12,2023,0,0,0,0.546511628,0,0.279069767,0.104651163,0,0,0.046511628,0.023255814,0,0,0,0,0
4,12,2024,0,0,0,0.466666667,0,0.293333333,0.133333333,0,0,0.053333333,0.026666667,0,0,0,0,0.026666667
4,13,2021,0,0,0,0.556962025,0,0.253164557,0.139240506,0,0,0,0.050632911,0,0,0,0,0
4,13,2022,0,0,0,0.75,0,0.1,0.05,0,0,0,0.1,0,0,0,0,0
4,13,2023,0,0,0,0.203389831,0,0.372881356,0.237288136,0,0,0.06779661,0.118644068,0,0,0,0,0
4,13,2024,0,0,0,0.283018868,0,0,0.471698113,0,0,0,0.245283019,0,0,0,0,0
5,1,2021,0,0.12987013,0,0.441558442,0,0.428571429,0,0,0,0,0,0,0,0,0,0
5,1,2022,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,1,2023,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,1,2024,0,0.05,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0
5,2,2021,0,0.234375,0,0.21875,0,0.484375,0,0,0,0,0,0,0.0625,0,0,0
5,2,2022,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,2,2023,0,0.033333333,0,0,0,0.966666667,0,0,0,0,0,0,0,0,0,0
5,2,2024,0,0.038461538,0,0,0,0.961538462,0,0,0,0,0,0,0,0,0,0
5,3,2021,0,0.024691358,0,0.530864198,0,0.419753086,0,0,0,0.024691358,0,0,0,0,0,0
5,3,2022,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,3,2023,0,0,0,0,0,0.955555556,0,0,0,0.044444444,0,0,0,0,0,0
5,3,2024,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,4,2021,0,0.229885057,0,0.333333333,0,0.32183908,0,0,0,0.114942529,0,0,0,0,0,0
5,4,2022,0,0.338582677,0,0.346456693,0,0.173228346,0,0,0.007874016,0.125984252,0,0,0.007874016,0,0,0
5,4,2023,0,0.396551724,0,0.120689655,0,0.465517241,0.017241379,0,0,0,0,0,0,0,0,0
5,4,2024,0,0.505263158,0,0.263157895,0,0.189473684,0,0,0,0.042105263,0,0,0,0,0,0
5,5,2021,0,0,0,0.333333333,0,0.511111111,0,0,0,0.155555556,0,0,0,0,0,0
5,5,2022,0,0,0,0,0,0.833333333,0,0,0,0.166666667,0,0,0,0,0,0
5,5,2023,0,0,0,0,0,0.870967742,0,0,0,0.129032258,0,0,0,0,0,0
5,5,2024,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
