"","Site","Plot","Year","EAF","EAG","EPF","NAF","EPG","NPF","NS","PG","EBF"
"1",1,1,2021,0.215189873417722,0.506329113924051,0.240506329113924,0.0379746835443038,0,0,0,0,0
"2",1,1,2022,0.166666666666667,0.340579710144927,0.239130434782609,0.13768115942029,0.0797101449275362,0.0289855072463768,0.0072463768115942,0,0
"3",1,1,2023,0.0230769230769231,0.353846153846154,0.269230769230769,0.238461538461538,0.0692307692307692,0.00769230769230769,0.0153846153846154,0.0230769230769231,0
"4",1,1,2024,0.036697247706422,0.458715596330275,0.119266055045872,0.174311926605505,0.100917431192661,0.0642201834862385,0.018348623853211,0.0275229357798165,0
"5",1,2,2021,0.0434782608695652,0.36231884057971,0.217391304347826,0.376811594202899,0,0,0,0,0
"6",1,2,2022,0,0.2,0,0,0,0,0.4,0.4,0
"7",1,2,2023,0,0.0545454545454545,0.563636363636364,0.0363636363636364,0.0727272727272727,0,0.2,0.0727272727272727,0
"8",1,2,2024,0,0.27906976744186,0.302325581395349,0,0.0465116279069767,0,0.325581395348837,0.0465116279069767,0
"9",1,3,2021,0.0123456790123457,0.580246913580247,0.308641975308642,0.037037037037037,0.0123456790123457,0,0,0.0493827160493827,0
"10",1,3,2022,0.147826086956522,0.356521739130435,0.182608695652174,0.0869565217391304,0.104347826086957,0.0260869565217391,0,0.0782608695652174,0.0173913043478261
"11",1,3,2023,0.0514705882352941,0.272058823529412,0.242647058823529,0.147058823529412,0.169117647058824,0.00735294117647059,0.00735294117647059,0.102941176470588,0
"12",1,3,2024,0.0657894736842105,0.5,0.171052631578947,0.0131578947368421,0.0921052631578947,0.0131578947368421,0.0263157894736842,0.0921052631578947,0.0263157894736842
"13",1,4,2021,0.0307692307692308,0.6,0.0615384615384615,0.0769230769230769,0.0153846153846154,0.0461538461538462,0,0.169230769230769,0
"14",1,4,2022,0.0140845070422535,0.267605633802817,0,0,0.112676056338028,0.0563380281690141,0.0422535211267606,0.507042253521127,0
"15",1,4,2023,0.10126582278481,0.164556962025316,0.139240506329114,0.0126582278481013,0.113924050632911,0.0126582278481013,0.0506329113924051,0.40506329113924,0
"16",1,4,2024,0.135802469135802,0.111111111111111,0.0617283950617284,0.0987654320987654,0.0617283950617284,0.037037037037037,0.0617283950617284,0.432098765432099,0
"17",1,5,2021,0.280701754385965,0.456140350877193,0.140350877192982,0.0175438596491228,0.0175438596491228,0.0175438596491228,0,0.0701754385964912,0
"18",1,5,2022,0,0.171428571428571,0,0,0.0571428571428571,0.2,0,0.571428571428571,0
"19",1,5,2023,0.0681818181818182,0.0454545454545454,0.409090909090909,0,0.113636363636364,0.0454545454545454,0.0909090909090909,0.227272727272727,0
"20",1,5,2024,0.0967741935483871,0,0.225806451612903,0,0,0.193548387096774,0.0645161290322581,0.419354838709677,0
"21",1,6,2021,0,0.725806451612903,0.032258064516129,0.0161290322580645,0,0.17741935483871,0,0.0483870967741936,0
"22",1,6,2022,0,0.0645161290322581,0,0,0.0645161290322581,0.419354838709677,0,0.451612903225806,0
"23",1,6,2023,0,0,0,0,0.230769230769231,0.435897435897436,0.102564102564103,0.230769230769231,0
"24",1,6,2024,0,0.0851063829787234,0.0212765957446809,0.0212765957446809,0.0638297872340425,0.297872340425532,0.0638297872340425,0.446808510638298,0
"25",1,7,2021,0.118421052631579,0.355263157894737,0.157894736842105,0.0921052631578947,0.0131578947368421,0.157894736842105,0,0.105263157894737,0
