Site_number,Site,Plot,Sprayed,Size,Long,Lat,coords.UTM1,coords.UTM2,elevation,slope,aspect,TPI,TRI,SWness,Heatload
3.002,3,2,Yes,2x2,-116.008,43.56649,580110.6,4824204,1031.555,18.36134,128.5831,0.045441,2.44278,-0.11176,0.705727
3.003,3,3,No,2x2,-116.008,43.56663,580125.4,4824219,1030.843,17.55989,124.9634,0.013748,2.396622,-0.17428,0.691549
3.004,3,4,Yes,2x2,-116.008,43.56673,580115.2,4824230,1035.272,18.40719,120.9871,-0.0609,2.565903,-0.24214,0.673246
3.005,3,5,Yes,2x2,-116.008,43.56674,580129.6,4824232,1030.009,16.50812,123.8842,-0.02136,2.25766,-0.19279,0.688767
3.006,3,6,Yes,2x2,-116.008,43.56688,580124.1,4824247,1035.748,17.60232,118.1236,0.030685,2.464737,-0.29031,0.663464
3.007,3,7,Yes,2x2,-116.008,43.56692,580138.9,4824252,1032.951,16.68012,116.0085,-0.01564,2.35817,-0.32543,0.657846
3.008,3,8,Yes,2x2,-116.007,43.5665,580185.7,4824206,1017.343,8.395087,130.4847,-0.05653,1.176147,-0.07873,0.705332
3.009,3,9,No,2x2,-116.007,43.56642,580195.2,4824197,1015.676,7.385985,131.9316,0.266174,1.085785,-0.05353,0.705518
4.001,4,1,Yes,2x2,-116.016,43.5839,579427.9,4826129,1190.627,15.62389,227.9223,-0.14592,2.109879,0.9987,0.825713
4.01,4,10,Yes,2x2,-116.016,43.58233,579445.6,4825956,1165.188,19.78383,146.2677,0.01268,2.779739,0.195393,0.782062
4.011,4,11,Yes,2x2,-116.016,43.58239,579455.5,4825962,1162.955,20.04699,147.4443,-0.35039,2.843887,0.215491,0.787645
4.012,4,12,No,2x2,-116.016,43.58248,579458.8,4825972,1166.406,19.99441,152.0815,0.107086,2.82959,0.293732,0.806124
4.013,4,13,Yes,2x2,-116.016,43.58252,579467.8,4825977,1168.15,16.75339,161.2361,0.033585,2.348862,0.442071,0.819602
4.002,4,2,Yes,2x2,-116.016,43.58398,579433.5,4826138,1194.507,13.59553,232.8088,0.176331,1.810699,0.990727,0.817636
4.003,4,3,Yes,2x2,-116.016,43.58405,579427.2,4826146,1194.136,11.85963,224.5702,-0.10698,1.553848,0.999972,0.79049
4.004,4,4,No,2x2,-116.016,43.58415,579432.4,4826157,1197.253,13.31039,226.0411,-0.05611,1.721268,0.999835,0.803504
4.005,4,5,Yes,2x2,-116.016,43.58424,579424.6,4826167,1196.969,15.12256,214.4344,-0.86607,2.169571,0.983045,0.835642
4.006,4,6,Yes,2x2,-116.016,43.58434,579432.4,4826178,1201.683,17.04936,210.4254,0.074966,2.410172,0.967821,0.858901
4.007,4,7,Yes,2x2,-116.016,43.58211,579429.4,4825930,1158.035,20.29022,150.9068,0.012024,2.875793,0.274073,0.802543
4.008,4,8,No,2x2,-116.016,43.5822,579434.4,4825940,1161.242,19.33061,149.8763,0.098923,2.685745,0.256733,0.795126
4.009,4,9,Yes,2x2,-116.016,43.58224,579442.9,4825945,1162.246,18.73629,145.4491,-0.04228,2.572769,0.181362,0.775935
5.001,5,1,Yes,2x2,-116.018,43.58026,579307.6,4825724,1106.824,11.49978,181.0391,0.079208,1.548264,0.719814,0.807701
5.01,5,10,Yes,2x2,-116.017,43.57966,579365.4,4825658,1095.514,5.226271,185.3632,0.014053,0.712936,0.770103,0.740572
5.011,5,11,Yes,2x2,-116.017,43.57954,579375.9,4825644,1094.754,5.377546,194.0658,-0.01268,0.745224,0.857758,0.743394
5.012,5,12,No,2x2,-116.017,43.57962,579389.2,4825653,1096.251,5.212267,211.8435,-0.03197,0.702927,0.973752,0.737823
5.013,5,13,Yes,2x2,-116.017,43.57951,579396.6,4825641,1094.425,5.919829,205.2667,-0.12,0.811249,0.941274,0.748153
5.002,5,2,Yes,2x2,-116.018,43.5803,579316.6,4825728,1106.757,11.17203,179.1177,-0.01541,1.48999,0.696135,0.802721
5.003,5,3,Yes,2x2,-116.017,43.5802,579333.8,4825718,1104.698,11.30057,177.6027,-0.01492,1.520966,0.67691,0.802648
5.004,5,4,No,2x2,-116.017,43.58026,579345.4,4825724,1106.645,11.08047,177.9952,0.048584,1.486176,0.681937,0.80078
5.005,5,5,Yes,2x2,-116.017,43.58018,579349.4,4825715,1104.564,11.68067,177.2591,0.049408,1.561218,0.672484,0.806136
5.006,5,6,No,2x2,-116.018,43.57976,579323,4825668,1096.535,6.361204,180.4337,0.005554,0.843292,0.712439,0.751882
5.007,5,7,Yes,2x2,-116.017,43.57981,579326,4825674,1097.684,7.440221,180.1419,-0.10065,0.992523,0.708856,0.763679
5.008,5,8,Yes,2x2,-116.017,43.57965,579336,4825657,1095.464,6.307515,179.4432,0.067459,0.843948,0.700201,0.750852
5.009,5,9,Yes,2x2,-116.017,43.5797,579347.9,4825661,1095.356,6.001335,179.7721,-0.06955,0.810974,0.704289,0.747595
6.001,6,1,Yes,2x2,-116.02,43.58007,579121.9,4825700,1120.099,19.6853,60.60921,-0.40225,2.728882,-0.96312,0.451543
6.01,6,10,Yes,2x2,-116.021,43.58052,579055.4,4825750,1138.944,27.10007,64.41756,-0.0647,3.992615,-0.94312,0.387818
6.011,6,11,Yes,2x2,-116.021,43.58045,579081.5,4825742,1128.383,24.24759,63.95066,-0.00273,3.499954,-0.9458,0.413638
6.012,6,12,Yes,2x2,-116.02,43.5804,579091.9,4825737,1124.292,23.79997,63.77687,-0.12042,3.465149,-0.94678,0.417542
6.013,6,13,No,2x2,-116.02,43.58046,579099.6,4825744,1118.497,23.44227,61.45112,-0.02171,3.356369,-0.95906,0.415039
6.002,6,2,No,2x2,-116.02,43.58017,579117.9,4825711,1122.211,21.42398,66.65735,-0.02261,3.077362,-0.92941,0.448799
6.003,6,3,No,2x2,-116.02,43.58016,579105,4825710,1125.907,23.08,66.11136,-0.07845,3.384048,-0.93288,0.430941
6.004,6,4,Yes,2x2,-116.02,43.5802,579097.6,4825715,1128.13,23.89748,66.17949,-0.02098,3.470444,-0.93245,0.423174
6.005,6,5,Yes,2x2,-116.02,43.58023,579088.1,4825717,1132.308,24.08894,66.03741,0.109207,3.519272,-0.93335,0.420924
6.006,6,6,Yes,2x2,-116.02,43.58033,579083.2,4825729,1130.299,24.2922,64.56902,-0.04785,3.553772,-0.94224,0.414885
6.007,6,7,Yes,2x2,-116.021,43.58025,579073.2,4825719,1136.319,24.35165,66.36642,-0.01593,3.575928,-0.93127,0.419324
6.008,6,8,Yes,2x2,-116.021,43.58042,579069.2,4825739,1132.503,24.83333,63.4826,0.029495,3.620804,-0.94842,0.4067
6.009,6,9,Yes,2x2,-116.021,43.58046,579058.6,4825743,1141.019,26.39518,65.64046,-0.12015,3.926392,-0.93581,0.397872
7.001,7,1,No,2x2,-116.024,43.578,578770.1,4825467,1167.426,20.42945,153.6777,0.126404,2.930054,0.320245,0.814029
7.01,7,10,Yes,2x2,-116.025,43.57801,578738.5,4825467,1168.88,16.2813,201.6537,0.149277,2.333817,0.918127,0.860731
7.011,7,11,Yes,2x2,-116.025,43.57792,578725.2,4825457,1164.697,17.49923,212.9082,-0.03551,2.413193,0.977813,0.858927
7.012,7,12,Yes,2x2,-116.025,43.57809,578725.7,4825476,1170.442,17.35064,209.1882,0.311401,2.424255,0.962162,0.863319
7.013,7,13,No,2x2,-116.025,43.57811,578714.3,4825477,1168.618,18.59268,215.0014,0.166687,2.568237,0.984812,0.864065
7.002,7,2,Yes,2x2,-116.025,43.5781,578762.1,4825478,1172.046,17.50322,161.4856,0.333115,2.508011,0.445973,0.825119
7.003,7,3,Yes,2x2,-116.025,43.57808,578752.4,4825475,1172.715,15.89053,174.7553,0.394501,2.24939,0.63951,0.842508
7.004,7,4,Yes,2x2,-116.025,43.57818,578744.3,4825486,1175.296,16.15134,191.8476,0.258499,2.252914,0.837219,0.861324
