X,AMSIN,BRAR5,BRTE,CHJU,EPBR3,ERCI6,HOUM,LARA,LASE,ARTR2,BRBR5,CRYPT,ERWI,LUPIN,MYST2,POBU,VEDU,BASA3,ELEL5,MADIA,OARTR,OPSSP,VUMY,OACMI,TACA8,OERNA,TRDU,ACMI2,POSE,CREPI,LONU2,PODO4,BLSC,DACA3,PHLO2,THIN6,PHAC2,AGPA14,ERAP,DRVE2,PSSP6,PHHA,ACTH7,HECO26,CLPE,VIOLA,CALOC,D,OELEL,ALDE,ERVI5,LECI4,SECE,ERUM,AMAL,CHMA15,PHHE2,HEAN3,APAN2,ELGL,UNKFRB3,COGR4,LIRU4,AG,BUAR3,PUTR2,HEUN,POMI,ARLO6,ERHE2,PREM,BRIN2,ASAD2,GALIU,COUM,VIPU4,ERNA10,KOMA,APIN,SIAL2,POPR,HISC2,AGCR,ERTR13,DESO2,DEPI,ST,SIDO,UKFB2,ELRE4,ROWO,PLTE,TAOF,ER
1-9-2022,0,0,0.058823529,0,0,0,0,0,0,0.039215686,0,0,0,0.039215686,0,0.078431373,0,0.039215686,0.098039216,0,0,0.019607843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-9-2023,0,0,0.019607843,0.352941176,0,0.039215686,0,0,0.019607843,0,0,0,0,0,0,0,0,0.117647059,0.176470588,0,0.019607843,0.039215686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-9-2024,0,0,0.019607843,0.137254902,0,0.058823529,0,0,0,0,0,0,0,0,0,0.039215686,0,0.098039216,0.137254902,0,0.078431373,0.078431373,0,0,0,0,0,0,0,0,0.019607843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-10-2021,0,0,0.058823529,0.039215686,0.058823529,0,0,0,0,0,0,0,0,0.058823529,0,0.058823529,0,0.019607843,0.058823529,0,0,0,0.019607843,0,0,0,0,0.039215686,0.450980392,0,0,0,0,0,0,0,0.039215686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-10-2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078431373,0,0.098039216,0,0.019607843,0.176470588,0,0,0,0,0,0,0,0,0,0.647058824,0,0,0,0,0,0,0,0.039215686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-10-2023,0,0,0,0,0.039215686,0,0,0,0.019607843,0,0,0,0,0.058823529,0,0.156862745,0,0.019607843,0.019607843,0,0,0,0,0,0,0,0,0,0.176470588,0,0,0.019607843,0,0,0,0,0.019607843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-10-2024,0,0.058823529,0.058823529,0,0,0,0,0,0,0,0,0,0,0.137254902,0,0,0,0,0.117647059,0,0,0,0,0,0,0,0,0,0.431372549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-11-2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.411764706,0,0,0,0,0.196078431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-11-2022,0,0,0.039215686,0,0,0,0,0,0,0,0,0,0,0,0,0.019607843,0,0,0,0,0,0,0,0.019607843,0,0.019607843,0,0,0.352941176,0,0,0,0,0.509803922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-11-2023,0,0,0,0,0.019607843,0,0,0,0,0,0,0,0,0,0,0.098039216,0.019607843,0,0,0,0,0,0,0,0,0.019607843,0,0,0.196078431,0,0.019607843,0,0,0.529411765,0,0,0,0.019607843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-11-2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078431373,0,0,0,0,0,0,0,0,0,0,0,0,0.450980392,0,0.019607843,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-12-2021,0,0,0,0,0.235294118,0,0,0,0,0,0,0,0,0,0,0.019607843,0,0,0.078431373,0,0,0,0,0,0,0,0,0,0.352941176,0,0,0,0,0.078431373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-12-2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078431373,0,0,0.098039216,0,0,0,0,0,0,0,0,0,0.470588235,0,0,0,0,0.254901961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-12-2023,0,0,0,0.019607843,0,0,0,0,0,0,0,0,0,0,0,0.274509804,0,0,0.039215686,0,0,0,0,0,0,0,0,0,0.254901961,0,0,0.039215686,0,0.31372549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-12-2024,0,0,0,0.019607843,0.039215686,0,0,0,0,0,0,0,0,0,0,0.156862745,0,0,0.039215686,0,0,0,0,0,0,0,0,0,0.470588235,0,0,0,0,0.31372549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-13-2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019607843,0,0,0,0,0,0,0,0,0.019607843,0.352941176,0,0,0,0,0.196078431,0,0,0,0,0.019607843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-13-2022,0.039215686,0,0.078431373,0,0.215686275,0,0.058823529,0,0.039215686,0,0,0,0,0,0.039215686,0.647058824,0,0,0.019607843,0,0,0.019607843,0.019607843,0.019607843,0,0,0,0,0.31372549,0,0,0.058823529,0,0.62745098,0,0,0,0,0.039215686,0.058823529,0.019607843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-13-2023,0,0.058823529,0,0,0.529411765,0,0,0,0,0,0,0,0,0,0,0.254901961,0.058823529,0,0,0,0,0,0.058823529,0,0.019607843,0,0,0,0.098039216,0,0,0.019607843,0,0.274509804,0,0,0,0,0.019607843,0.039215686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
