Year,Season,Year_Season,Site,Plot,Depth,watercontent_g.g.instant,WHC_g.g.instant,NH4.instant,NO3.instant,N_ug.g.instant,watercontent_g.g.incubated,WHC_g.g.incubated,NH4.incubated,NO3.incubated,N_ug.g.incubated
2021,Fall,2021Fall,4,5,0-10,0.018343,0.267908,5.453593,3.362768,8.816361,0.018343,0.267908,0.965521,0.963895,1.929416
2021,Fall,2021Fall,4,6,0-10,0.024211,0.295514,8.981584,7.069455,16.05104,0.024211,0.295514,0.20772,1.001911,1.209631
2021,Fall,2021Fall,4,7,0-10,0.024128,0.327944,9.686241,3.579124,13.26537,0.024128,0.327944,0.306558,1.104848,1.411407
2021,Fall,2021Fall,4,8,0-10,0.023919,0.275916,5.603568,2.55341,8.156978,0.023919,0.275916,0.144102,0.998905,1.143007
2021,Fall,2021Fall,4,9,0-10,0.022612,0.297363,8.369959,7.727411,16.09737,0.022612,0.297363,0.797571,1.052407,1.849978
2021,Fall,2021Fall,4,10,0-10,0.019058,0.302738,4.217761,2.308652,6.526413,0.019058,0.302738,0.170589,1.073968,1.244557
2021,Fall,2021Fall,4,11,0-10,0.02388,0.28912,4.616451,3.230823,7.847274,0.02388,0.28912,0.120569,0.930827,1.051396
2021,Fall,2021Fall,4,12,0-10,0.019819,0.274225,3.549298,2.442166,5.991464,0.019819,0.274225,0.334008,0.726042,1.060051
2021,Fall,2021Fall,4,13,0-10,0.02895,0.3251,11.22203,4.868305,16.09033,0.02895,0.3251,1.012369,1.283621,2.29599
2021,Fall,2021Fall,5,1,0-10,0.036387,0.37498,0.804039,3.690468,4.494507,0.036387,0.37498,0.172858,0.895376,1.068235
2021,Fall,2021Fall,5,2,0-10,0.036658,0.356008,1.081589,1.974222,3.05581,0.036658,0.356008,0.159666,0.975213,1.134878
2021,Fall,2021Fall,5,3,0-10,0.037471,0.326588,3.552429,7.405659,10.95809,0.037471,0.326588,0.160017,1.167406,1.327423
2021,Fall,2021Fall,5,4,0-10,0.036133,0.279742,1.49372,9.073618,10.56734,0.036133,0.279742,0.193298,1.245377,1.438676
2021,Fall,2021Fall,5,5,0-10,0.033144,0.256176,3.078004,4.528248,7.606252,0.033144,0.256176,0.140572,0.982301,1.122872
2021,Fall,2021Fall,5,6,0-10,0.039196,0.244678,2.795961,2.511417,5.307377,0.039196,0.244678,0.143394,0.94444,1.087835
2021,Fall,2021Fall,5,7,0-10,0.034661,0.250737,2.135629,4.504385,6.640014,0.034661,0.250737,0.122571,0.948636,1.071207
2021,Fall,2021Fall,5,8,0-10,0.042024,0.435731,3.489031,6.559822,10.04885,0.042024,0.435731,0.146515,1.00729,1.153805
2021,Fall,2021Fall,5,9,0-10,0.05354,0.602367,2.123603,2.214727,4.33833,0.05354,0.602367,0.72968,0.941462,1.671142
2021,Fall,2021Fall,5,10,0-10,0.032651,0.331192,1.583577,5.717824,7.3014,0.032651,0.331192,0.331823,1.71992,2.051743
2021,Fall,2021Fall,5,11,0-10,0.029519,0.345911,1.684625,10.16422,11.84885,0.029519,0.345911,0.133948,1.207486,1.341434
2021,Fall,2021Fall,5,12,0-10,0.039088,0.344342,1.898263,6.020472,7.918735,0.039088,0.344342,0.122648,1.436687,1.559335
2021,Fall,2021Fall,5,13,0-10,0.041727,0.388043,2.651156,4.463813,7.114969,0.041727,0.388043,0.147577,1.076859,1.224437
2021,Fall,2021Fall,6,1,0-10,0.043562,0.392515,4.625602,5.436318,10.06192,0.043562,0.392515,0.406526,2.452348,2.858874
2021,Fall,2021Fall,6,2,0-10,0.046018,0.410704,2.878371,8.125031,11.0034,0.046018,0.410704,0.241136,1.531179,1.772315
2021,Fall,2021Fall,6,3,0-10,0.046428,0.40663,2.979291,5.693356,8.672647,0.046428,0.40663,0.268554,1.477696,1.74625
2021,Fall,2021Fall,6,4,0-10,0.045851,0.397462,4.025637,8.402223,12.42786,0.045851,0.397462,0.171213,2.090763,2.261976
2021,Fall,2021Fall,6,5,0-10,0.03292,0.355125,1.761824,7.872245,9.634069,0.03292,0.355125,0.212446,1.455732,1.668178
2021,Fall,2021Fall,6,6,0-10,0.029543,0.371199,4.672584,9.292413,13.965,0.029543,0.371199,0.221664,2.0014,2.223065
2021,Fall,2021Fall,6,7,0-10,0.033196,1.383458,2.555253,4.54414,7.099393,0.033196,1.383458,0.424719,1.765649,2.190369
2021,Fall,2021Fall,6,8,0-10,0.032922,0.330751,5.221733,3.624308,8.846041,0.032922,0.330751,0.17198,1.467543,1.639523
2021,Fall,2021Fall,6,9,0-10,0.041023,0.34508,4.525412,8.537924,13.06334,0.041023,0.34508,0.229471,1.306709,1.536179
2021,Fall,2021Fall,6,10,0-10,0.027636,0.323157,4.357105,8.907881,13.26499,0.027636,0.323157,0.956884,0.643025,1.599909
2021,Fall,2021Fall,6,11,0-10,0.027717,0.332581,4.175867,9.215012,13.39088,0.027717,0.332581,0.171659,1.107074,1.278734
2021,Fall,2021Fall,6,12,0-10,0.037133,0.386208,2.348727,6.76474,9.113468,0.037133,0.386208,0.19251,2.103147,2.295657
2021,Fall,2021Fall,6,13,0-10,0.033981,0.337641,2.213147,8.567265,10.78041,0.033981,0.337641,0.192558,1.216064,1.408622
