Site,Plot,Year,AMSIN,BRAR5,BRTE,CHJU,EPBR3,ERCI6,HOUM,LARA,LASE,ARTR2,BRBR5,CRYPT,ERWI,LUPIN,MYST2,POBU,VEDU,BASA3,ELEL5,MADIA,OARTR,OPSSP,VUMY,OACMI,TACA8,OERNA,TRDU,ACMI2,POSE,CREPI,LONU2,PODO4,BLSC,DACA3,PHLO2,THIN6,PHAC2,AGPA14,ERAP,DRVE2,PSSP6,PHHA,ACTH7,HECO26,CLPE,VIOLA,CALOC,OELEL,ALDE,ERVI5,LECI4,SECE,ERUM,AMAL,CHMA15,PHHE2,HEAN3,APAN2,ELGL,UNKFRB3,COGR4,LIRU4,BUAR3,PUTR2,HEUN,POMI,ARLO6,ERHE2,PREM,BRIN2,ASAD2,GALIU,COUM,VIPU4,ERNA10,KOMA,APIN,SIAL2,POPR,HISC2,AGCR,ERTR13,DESO2,DEPI,SIDO,UKFB2,ELRE4,ROWO,PLTE,TAOF
1,3,2023,0,0.067114094,0.147651007,0.22147651,0.134228188,0.033557047,0.013422819,0,0,0,0,0,0,0.006711409,0,0.154362416,0,0,0.087248322,0,0.006711409,0.013422819,0.026845638,0,0.087248322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,2024,0,0.034482759,0.195402299,0.149425287,0.011494253,0.034482759,0.011494253,0,0.011494253,0,0,0,0,0.011494253,0,0.08045977,0,0,0.08045977,0,0.022988506,0,0.068965517,0,0.264367816,0,0.022988506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,2021,0,0,0.590909091,0.060606061,0.075757576,0.03030303,0,0,0,0,0,0,0,0,0,0.015151515,0,0,0.106060606,0,0,0,0,0,0,0,0,0.045454545,0.075757576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,2022,0,0,0.228915663,0,0,0.012048193,0,0,0,0.024096386,0,0,0,0.012048193,0,0.096385542,0,0,0.289156627,0,0,0,0,0,0.012048193,0.012048193,0,0,0.277108434,0.024096386,0.012048193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,2023,0,0.036585366,0.12195122,0.134146341,0,0.097560976,0,0,0,0,0,0,0,0,0,0.109756098,0,0,0.280487805,0,0.048780488,0,0,0,0,0,0,0,0.146341463,0.012195122,0,0.012195122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,2024,0,0,0.109756098,0.06097561,0.048780488,0.134146341,0,0,0,0,0,0,0,0.012195122,0,0.06097561,0,0.012195122,0.292682927,0,0.06097561,0,0,0,0,0,0,0,0.146341463,0,0.012195122,0,0.048780488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,2021,0,0,0.456140351,0.140350877,0.01754386,0.263157895,0.01754386,0,0,0,0,0,0,0.01754386,0,0.01754386,0,0,0.052631579,0,0,0,0,0,0,0,0,0,0.01754386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,2022,0,0,0.171428571,0,0,0,0,0,0,0,0,0,0,0.085714286,0,0.057142857,0,0.114285714,0.571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,2023,0,0,0.045454545,0.409090909,0,0.068181818,0,0,0,0,0,0,0,0,0,0.113636364,0,0.045454545,0.227272727,0,0.045454545,0,0,0,0,0.045454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,2024,0,0,0,0.21875,0,0.09375,0,0,0,0,0,0,0,0.03125,0,0,0,0.09375,0.375,0,0.0625,0,0,0.03125,0,0,0,0,0,0,0,0,0,0.03125,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,2021,0,0,0.703125,0.03125,0.015625,0,0,0,0,0,0,0,0,0.03125,0,0,0,0.125,0.046875,0,0,0,0,0,0.03125,0,0,0.015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,2022,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0.0625,0,0.0625,0,0.3125,0.34375,0,0,0,0,0.03125,0,0,0,0,0.03125,0,0,0,0,0,0,0.09375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0.225,0,0.3,0.175,0,0.1,0,0,0,0,0,0,0,0.075,0,0.025,0,0,0,0,0,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,2024,0.020408163,0,0.081632653,0.020408163,0,0,0,0,0,0,0,0,0,0.020408163,0,0.06122449,0,0.163265306,0.306122449,0,0.06122449,0,0,0.06122449,0,0,0,0,0.020408163,0,0,0,0,0,0,0.12244898,0.06122449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,2021,0,0,0.355263158,0.157894737,0.092105263,0.118421053,0,0,0,0,0,0,0,0.118421053,0,0.013157895,0,0,0.026315789,0,0,0,0,0,0,0,0,0.039473684,0.078947368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,2022,0,0,0.171428571,0,0,0,0,0,0,0,0,0,0,0.228571429,0,0.114285714,0,0,0.057142857,0,0,0,0,0.057142857,0,0,0,0,0.314285714,0,0.057142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,2023,0,0,0.038461538,0.326923077,0,0.019230769,0,0,0,0,0,0,0,0,0,0.096153846,0,0.096153846,0.038461538,0,0.038461538,0,0,0,0,0.057692308,0,0,0.288461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,2024,0,0.050847458,0.050847458,0.152542373,0,0.237288136,0,0,0,0,0,0,0,0.033898305,0,0.016949153,0,0.050847458,0.050847458,0,0.033898305,0,0,0,0,0.050847458,0.016949153,0,0.254237288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
